X,Y,AP_1,AP_2,AP_3
297,167,-66,-43,-57
297,167,-67,-47,-57
297,167,-65,-46,-53
297,167,-64,-45,-52
297,167,-64,-46,-52
297,167,-65,-48,-52
297,167,-65,-47,-52
297,167,-67,-46,-52
297,167,-68,-52,-53
297,167,-63,-48,-53
297,167,-61,-45,-52
297,167,-64,-46,-54
297,167,-64,-50,-52
297,167,-62,-48,-53
297,167,-61,-49,-52
399,46,-45,-48,-60
399,46,-54,-52,-49
399,46,-55,-45,-51
399,46,-57,-48,-52
399,46,-58,-48,-51
399,46,-47,-50,-64
399,46,-46,-53,-62
399,46,-45,-57,-58
399,46,-45,-56,-60
399,46,-45,-56,-60
399,46,-55,-51,-57
399,46,-50,-47,-54
399,46,-51,-48,-57
399,46,-54,-47,-57
399,46,-50,-48,-57
399,46,-56,-48,-57
399,46,-50,-51,-59
399,46,-44,-52,-54
399,46,-47,-54,-62
199,32,-60,-46,-38
199,32,-76,-40,-34
199,32,-73,-40,-35
199,32,-64,-41,-33
199,32,-64,-41,-35
199,32,-67,-41,-34
199,32,-67,-41,-34
199,32,-62,-41,-38
199,32,-62,-41,-38
199,32,-64,-41,-40
199,32,-61,-41,-37
199,32,-63,-41,-35
199,32,-66,-42,-36
199,32,-64,-43,-37
199,32,-61,-45,-37
199,32,-62,-44,-36
199,32,-61,-47,-36
199,32,-62,-45,-36
199,32,-62,-46,-36
199,32,-62,-46,-36
285,89,-58,-51,-54
285,89,-59,-45,-61
285,89,-57,-41,-61
285,89,-57,-43,-60
285,89,-55,-42,-59
285,89,-63,-38,-47
285,89,-70,-50,-49
285,89,-66,-48,-53
285,89,-58,-44,-50
285,89,-64,-41,-51
285,89,-58,-40,-60
285,89,-60,-40,-60
285,89,-59,-40,-60
285,89,-59,-40,-61
285,89,-58,-41,-53
285,89,-59,-41,-58
285,89,-59,-41,-58
285,89,-60,-43,-58
285,89,-62,-43,-59
285,89,-63,-46,-61
285,89,-60,-45,-56
285,89,-57,-45,-62
285,89,-60,-47,-60
285,89,-59,-51,-57
285,89,-57,-53,-62
285,89,-56,-54,-61
285,89,-60,-51,-60
287,304,-63,-29,-52
287,304,-64,-22,-59
287,304,-63,-21,-58
287,304,-66,-20,-56
287,304,-67,-19,-56
287,304,-68,-18,-59
287,304,-68,-18,-58
287,304,-68,-18,-57
287,304,-68,-18,-57
287,304,-64,-24,-61
287,304,-64,-24,-66
287,304,-64,-24,-66
287,304,-64,-24,-67
287,304,-64,-24,-67
287,304,-63,-24,-67
287,304,-66,-24,-63
201,300,-69,-45,-57
201,300,-66,-47,-60
201,300,-66,-48,-59
201,300,-68,-45,-58
201,300,-66,-46,-57
201,300,-69,-47,-59
201,300,-68,-40,-57
201,300,-67,-46,-58
201,300,-67,-45,-57
201,300,-71,-43,-60
201,300,-71,-43,-59
201,300,-70,-43,-64
201,300,-72,-43,-63
201,300,-68,-46,-58
201,300,-69,-49,-58
201,300,-70,-48,-59
201,300,-71,-37,-58
201,300,-64,-37,-58
201,300,-67,-52,-59
201,300,-71,-50,-59
201,300,-67,-45,-61
201,300,-72,-43,-65
201,300,-70,-46,-65
201,300,-71,-44,-66
201,300,-72,-44,-66
167,301,-61,-40,-52
167,301,-69,-39,-56
167,301,-63,-40,-57
167,301,-61,-40,-57
167,301,-62,-38,-57
167,301,-61,-37,-56
167,301,-61,-38,-57
167,301,-61,-38,-56
167,301,-62,-39,-56
167,301,-61,-41,-53
167,301,-60,-42,-52
167,301,-62,-40,-54
167,301,-61,-42,-53
167,301,-61,-42,-53
167,301,-61,-43,-53
167,301,-62,-42,-55
167,301,-63,-42,-55
167,301,-66,-37,-59
167,301,-60,-38,-54
167,301,-61,-38,-55
167,301,-73,-42,-46
167,301,-72,-44,-48
167,301,-72,-46,-49
167,301,-72,-47,-47
167,301,-72,-45,-47
167,301,-71,-47,-51
167,301,-73,-46,-51
167,301,-74,-47,-50
167,301,-66,-47,-48
167,301,-66,-42,-48
167,301,-66,-40,-48
167,301,-66,-41,-48
167,301,-63,-39,-49
167,301,-64,-40,-49
167,301,-64,-40,-49
167,301,-64,-40,-49
167,301,-64,-41,-48
167,301,-64,-41,-48
167,301,-64,-41,-48
167,301,-61,-39,-58
167,301,-61,-39,-57
110,40,-67,-60,-48
110,40,-68,-53,-43
110,40,-69,-54,-44
110,40,-68,-47,-45
110,40,-70,-60,-49
110,40,-71,-55,-43
110,40,-66,-46,-43
110,40,-72,-56,-43
110,40,-66,-50,-43
110,40,-66,-48,-42
110,40,-66,-48,-43
110,40,-66,-48,-42
110,40,-65,-48,-42
110,40,-66,-48,-42
110,40,-66,-48,-42
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-42
110,40,-66,-48,-42
110,40,-66,-48,-43
110,40,-66,-48,-42
110,40,-65,-49,-42
110,40,-66,-48,-41
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-48,-41
110,40,-66,-48,-43
110,40,-66,-48,-42
110,40,-66,-48,-43
110,40,-66,-48,-43
110,40,-66,-49,-42
110,40,-66,-48,-42
110,40,-66,-49,-43
110,40,-66,-48,-43
110,40,-66,-48,-42
110,40,-66,-48,-43
110,40,-66,-48,-41
110,40,-67,-48,-43
110,40,-68,-51,-42
110,40,-74,-58,-44
110,40,-67,-55,-48
110,40,-68,-53,-45
110,40,-69,-56,-47
110,40,-68,-58,-47
110,40,-68,-58,-47
110,40,-69,-58,-46
36,28,-70,-52,-52
36,28,-70,-50,-57
36,28,-69,-50,-56
36,28,-68,-52,-54
36,28,-67,-51,-52
36,28,-67,-51,-48
36,28,-67,-52,-50
36,28,-66,-51,-51
36,28,-68,-51,-48
36,28,-68,-51,-51
36,28,-67,-52,-52
36,28,-68,-50,-53
36,28,-67,-52,-52
36,28,-68,-52,-52
36,28,-68,-52,-52
36,28,-67,-52,-52
36,28,-68,-51,-53
36,28,-67,-50,-51
36,28,-68,-52,-53
36,28,-68,-52,-52
36,28,-67,-49,-53
36,28,-68,-49,-53
36,28,-68,-51,-53
36,28,-68,-52,-53
36,28,-68,-51,-53
36,28,-68,-51,-53
36,28,-68,-49,-53
36,28,-68,-52,-52
36,28,-68,-50,-52
36,28,-68,-51,-52
36,28,-68,-52,-53
36,28,-68,-51,-53
36,28,-68,-51,-52
36,28,-68,-52,-51
36,28,-68,-49,-53
36,28,-69,-50,-53
36,28,-69,-49,-51
45,318,-74,-64,-72
45,318,-72,-63,-75
45,318,-76,-67,-78
45,318,-74,-60,-73
45,318,-73,-67,-76
45,318,-75,-67,-77
45,318,-74,-68,-76
45,318,-73,-66,-78
45,318,-71,-66,-75
45,318,-74,-68,-80
45,318,-73,-61,-76
45,318,-78,-59,-76
45,318,-74,-64,-75
45,318,-74,-67,-74
45,318,-72,-70,-77
45,318,-73,-71,-75
45,318,-73,-68,-79
45,318,-74,-67,-80
45,318,-74,-67,-77
45,318,-73,-69,-79
45,318,-75,-67,-75
45,318,-74,-67,-78
45,318,-78,-65,-70
45,318,-73,-64,-77
45,318,-73,-61,-76
45,318,-74,-64,-68
45,318,-78,-66,-72
45,318,-72,-64,-70
45,318,-78,-60,-68
45,318,-75,-68,-78
45,318,-74,-64,-76
45,318,-73,-61,-72
45,318,-75,-68,-77
45,318,-74,-67,-77
45,318,-74,-68,-77
45,318,-73,-67,-77
45,318,-72,-67,-76
45,318,-73,-60,-72
45,318,-74,-68,-76
45,318,-74,-67,-76
45,318,-73,-60,-72
45,318,-75,-68,-77
45,318,-72,-68,-76
45,318,-74,-67,-75
45,318,-74,-68,-76
45,318,-71,-68,-76
45,318,-74,-60,-73
45,318,-74,-68,-77
45,318,-74,-68,-76
45,318,-73,-68,-75
45,318,-74,-68,-76
45,318,-74,-66,-77
45,318,-69,-66,-73
45,318,-74,-69,-77
45,318,-74,-67,-76
45,318,-73,-69,-76
45,318,-73,-68,-77
45,318,-73,-69,-77
45,318,-72,-69,-76
45,318,-72,-69,-76
45,318,-72,-58,-72
45,318,-73,-60,-72
45,318,-74,-68,-76
45,318,-74,-60,-74
45,318,-78,-62,-67
399,150,-61,-47,-53
399,150,-54,-51,-61
399,150,-58,-45,-51
399,150,-59,-43,-54
399,150,-59,-43,-52
399,150,-59,-43,-52
399,150,-59,-43,-52
399,150,-59,-43,-53
399,150,-59,-42,-53
399,150,-59,-43,-53
399,150,-59,-43,-53
399,150,-59,-42,-53
399,150,-59,-43,-53
399,150,-59,-43,-53
399,150,-59,-42,-53
399,150,-60,-43,-52
399,150,-60,-43,-53
399,150,-60,-42,-53
399,150,-60,-43,-53
399,150,-60,-43,-52
399,150,-60,-43,-53
399,150,-59,-43,-53
399,150,-60,-43,-52
399,150,-60,-42,-53
399,150,-60,-43,-53
399,150,-60,-43,-53
399,150,-59,-43,-53
399,150,-59,-43,-53
399,150,-59,-43,-52
399,150,-59,-43,-53
399,150,-59,-42,-53
399,150,-59,-42,-53
399,150,-59,-43,-53
399,150,-59,-43,-53
399,150,-59,-43,-52
399,150,-58,-43,-53
399,150,-52,-43,-53
399,150,-59,-43,-53
399,150,-59,-43,-53
399,150,-59,-42,-53
399,150,-59,-43,-53
399,150,-60,-43,-53
399,150,-59,-42,-52
399,150,-59,-43,-53
399,150,-58,-43,-53
399,150,-59,-42,-53
399,150,-58,-42,-53
399,150,-58,-43,-53
399,150,-57,-41,-51
399,150,-59,-42,-53
399,150,-59,-43,-52
399,150,-59,-43,-53
399,150,-59,-43,-51
399,150,-59,-42,-53
399,150,-60,-43,-53
399,150,-59,-42,-52
399,150,-58,-44,-52
399,150,-58,-43,-54
399,150,-58,-43,-53
399,150,-59,-41,-53
399,150,-58,-43,-54
399,150,-59,-42,-53
399,150,-61,-43,-53
399,150,-60,-43,-52
399,150,-59,-43,-52
399,150,-59,-43,-54
399,150,-59,-42,-54
399,150,-58,-42,-53
399,150,-59,-43,-52
399,150,-58,-43,-53
399,150,-59,-43,-53
399,150,-58,-42,-53
553,26,-50,-53,-63
553,26,-52,-57,-77
553,26,-50,-64,-70
553,26,-50,-55,-65
553,26,-49,-56,-68
553,26,-51,-55,-68
553,26,-51,-56,-64
553,26,-49,-52,-69
553,26,-49,-55,-64
553,26,-51,-54,-66
553,26,-51,-54,-66
553,26,-51,-53,-66
553,26,-51,-55,-66
553,26,-49,-48,-62
553,26,-49,-46,-62
553,26,-50,-54,-65
553,26,-51,-54,-63
553,26,-51,-54,-64
553,26,-51,-54,-66
553,26,-49,-52,-66
553,26,-49,-54,-64
553,26,-49,-54,-65
553,26,-50,-53,-65
553,26,-50,-54,-65
553,26,-50,-55,-66
553,26,-49,-54,-65
553,26,-49,-54,-66
553,26,-51,-54,-66
553,26,-49,-55,-66
553,26,-49,-54,-65
553,26,-50,-54,-66
553,26,-51,-54,-65
553,26,-49,-54,-65
553,26,-50,-54,-65
553,26,-51,-54,-66
553,26,-51,-55,-65
553,26,-50,-53,-65
553,26,-50,-54,-66
553,26,-49,-54,-66
553,26,-49,-53,-66
553,26,-49,-53,-65
553,26,-49,-54,-65
553,26,-51,-48,-61
